 ,TRACK_ID,Frame,POSITION_X,POSITION_Y,z,m0,m1,m2,m3,m4,NPscore
22,7,2,64.57416,34.932583,0,0.5920000000000001,1.036,1.391,2.009,3.113,0.21899999999999997
23,8,0,59.533460000000005,35.881006,0,0.625,1.091,1.538,2.338,3.806,0.205
24,8,1,59.61645200000001,35.863184,0,0.785,1.0590000000000002,1.4580000000000002,2.171,3.4730000000000003,0.23199999999999998
25,8,2,59.545297000000005,35.891779,0,0.527,1.062,1.4480000000000002,2.124,3.34,0.253
26,9,0,9.34059,60.33558300000001,0,0.746,1.115,1.589,2.445,4.0280000000000005,0.251
27,9,1,9.351097,60.407270000000004,0,0.6659999999999999,1.114,1.56,2.347,3.7710000000000004,0.23399999999999999
28,9,2,9.331812000000001,60.306456,0,0.501,1.06,1.429,2.064,3.1889999999999996,0.226
29,9,3,9.372377,60.362183,0,0.57,1.14,1.646,2.5610000000000004,4.2589999999999995,0.218
30,9,5,9.492609000000002,60.450761,0,0.35,1.015,1.365,1.982,3.0989999999999998,0.251
31,9,6,9.386475,60.317229000000005,0,0.4,1.036,1.367,1.933,2.93,0.244
32,10,0,3.086132,61.118421,0,0.7120000000000001,1.131,1.6230000000000002,2.5140000000000002,4.165,0.223
33,10,1,3.1145940000000008,61.13850400000001,0,0.861,1.075,1.5019999999999998,2.273,3.697,0.251
34,10,3,3.039183,61.109377,0,0.675,1.143,1.6369999999999998,2.5269999999999997,4.168,0.21600000000000003
35,10,5,3.046365,61.11616,0,0.547,1.074,1.489,2.229,3.58,0.243
